CUI|Drug|EPUB|PMID
C0020336|Hydroxychloroquine|2020 Mar 20|32205204
C0008269|Chloroquine|2020 Mar 20|32205204
C0052796|Azithromycin|2020 Mar 20|32205204
C0022322|Ivermectin|2020 Apr 3|32251768
C0068788|Nitazoxanide|2020 Apr 30| 32405422
C4726677|Remdesivir|2020 Apr 10|32275812
C1138226|Favipiravir|2020 Mar 18|32346491
C0674432|Lopinavir|2020 Mar 18|32187464
C0292818|Ritonavir|2020 Mar 18|32187464
C0035525|Ribavirin|2020 Apr 10| 32227493 
C0874161|Oseltamivir|2020 Apr 4|32307245
C0254211|Arbidol|2020 Apr 10|32283143
C1609165|Tocilizumab|2020 Apr 29|32350134
C0021743|Interferon Type I|2020 Apr 29|32360182
C0002199|Interferon-alpha|2020 Apr 29|32360182
C0015980|Interferon-beta|2020 Apr 29|32360182
C0005148|Interferon-beta-1|2020 Apr 29|32360182
C0025815|Methylprednisolone|2020 Apr 28|32341331
C0011777|Dexamethasone|2020 Jul 17|32678530
C0245109|anakinra|2020 May 7|32501454
C4044947|Baricitinib|2020 Jun 20|32032529
C2931926|Ruxolitinib |2020 May 26|32470486
C0021027|Immunoglobulins|2020 Jul 10|32648959
C4521445|Convalescent plasma|2020 Jul 10|32648959
C0019134|Heparin|2020 Jun 10|32519894
C0043031|Warfarin|2020 Aug 20|32458370
C0004057|Aspirin|2020 July 25| 32705604
C0003968|Vitamin C|2020 Apr 7|32264963
C0043481|Zinc|2020 Jun 6|32522597
C0042866|Vitamin D|2020 May 7|32413819
