Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
1	NCT04425538	A Phase 2 Trial of Infliximab in Coronavirus Disease 2019 (COVID-19).		Recruiting	No Results Available	COVID-19	Drug: Infliximab	Time to improvement in oxygenation|28-day mortality|Assessment of cytokine and inflammatory profile at baseline and at 48 hours after therapy|Qualitative and quantitative toxicity|incidence and duration of supplemental oxygen administration|Incidence and duration of non-invasive ventilation or by non-rebreather mask or high-flow nasal cannula|Incidence and duration of mechanical ventilation|Incidence and duration of vasopressor support|Incidence and duration of extracorporeal membrane oxygenation|Duration of fever|Correlation of cytokine profile to clinical outcomes specified in primary and secondary objectives|Duration of hospitalization|Secondary infections	Tufts Medical Center|National Institutes of Health (NIH)	All	18 Years and older   (Adult, Older Adult)	Phase 2	17	Other|NIH	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	STUDY00000564	June 1, 2020	September 2020	December 2020	June 11, 2020		June 11, 2020	Tufts Medical Center, Boston, Massachusetts, United States		https://ClinicalTrials.gov/show/NCT04425538
2	NCT04333550	Application of Desferal to Treat COVID-19		Recruiting	No Results Available	COVID-19	Drug: Deferoxamine	Mortality rate|change in patients clinical manifestation|change in patients PaO2|Length of hospitalization|C-reactive protein|lymphocyte count|length of intensive care unit stay	Kermanshah University of Medical Sciences	All	3 Years to 99 Years   (Child, Adult, Older Adult)	Phase 1|Phase 2	50	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment	1398.1224	April 2020	September 2020	March 2021	April 3, 2020		May 4, 2020	Regenerative Medicine Research Center, Kermanshah University of Medical Sciences, Kermanshah, Iran, Kermanshah, Iran, Islamic Republic of		https://ClinicalTrials.gov/show/NCT04333550
3	NCT04432987	Dornase Alpha for the Treatment of COVID-19		Recruiting	No Results Available	COVID-19	Drug: Pulmozyme	Response|Survival	Acibadem University|The Scientific and Technological Research Council of Turkey	All	18 Years and older   (Adult, Older Adult)	Phase 2	60	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	8820	May 25, 2020	August 25, 2020	September 25, 2020	June 16, 2020		June 16, 2020	Acıbadem Altunizade Hospital, Istanbul, Turkey		https://ClinicalTrials.gov/show/NCT04432987
4	NCT04445272	Clinical Trial to Evaluate the Effectiveness and Safety of Tocilizumab for Treating Patients With COVID-19 Pneumonia		Recruiting	No Results Available	COVID-19	Drug: Tocilizumab	To calulate the time of intubation|To calculate the time with oxygen therapy|To calculate the time with Non-invasive mechanical ventilation|To evaluate mortality rate|To calculate respiratory function parameters|To evaluate radiological lung extension|To evaluate radiological evolution|To describe the duration of hospitalization and ICU use|To evaluate the requirement of additional organ support|To evaluate the effect of IV tocilizumab on the serum levels of inflammatory markers|To calculate the number of adverse events in patients with COVID-19 pneumonia treated with Tocilizumab|To assess time to reverse-transcriptase polymerase chain reaction (RT-PCR) virus negativity|To evaluate the effect of IV tocilizumab on the serum levels of inflammatory|To calculate the number of serious adverse events in patients with COVID-19 pneumonia treated with Tocilizumab|To calculate the number of adverse events of special interest in patients with COVID-19 pneumonia treated with Tocilizumab|To evaluate respiratory function	Fundacion SEIMC-GESIDA|Roche Pharma AG|Dynamic Science S.L.	All	18 Years and older   (Adult, Older Adult)	Phase 2	500	Other|Industry	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	BREATH-19 (FSG011-20)	May 22, 2020	August 22, 2020	August 22, 2020	June 24, 2020		June 24, 2020	Hospital Universitario de Cabueñes, Gijón, Asturias, Spain|Hospital Universitario Central Asturias, Oviedo, Asturias, Spain|Hospital Universitari de Bellvitge, L'Hospitalet De Llobregat, Barcelona, Spain|Hospital Sant Joan de Déu de Manresa, Manresa, Barcelona, Spain|Hospital de Mataró, Mataró, Barcelona, Spain|Hospital Universitario de Galdakao, Galdakao, Bizkaia, Spain|Hospital Universitario Marqués Valdecilla, Santander, Cantabria, Spain|Hospital Público General del Tomelloso, Tomelloso, Ciudad Real, Spain|Hospital Jerez de la Frontera, Jerez De La Frontera, Cádiz, Spain|Hospital Universitari Son Espases, Palma De Mallorca, Islas Baleares, Spain|Hospital Universitario Fundación Alcorcón, Alcorcón, Madrid, Spain|Hospital Universitario de Fuenlabrada, Fuenlabrada, Madrid, Spain|Hospital Universitario de Getafe, Getafe, Madrid, Spain|Hospital Universitario de Getafe, Getafe, Madrid, Spain|Hospital Rey Juan Carlos, Móstoles, Madrid, Spain|Hospital Universitario Rey Juan Carlos, Móstoles, Madrid, Spain|Hospital Universitario Infanta Sofía, San Sebastián De Los Reyes, Madrid, Spain|Complejo Hospitalario de Navarra, Pamplona, Navarra, Spain|Hospital Nuestra Señora del Prado, Talavera De La Reina, Toledo, Spain|Complejo Hospitalario Universitario de Albacete, Albacete, Spain|Hospital Infanta Cristina, Badajoz, Spain|Hospital Clínic i Provincial Barcelona, Barcelona, Spain|Hospital de la Santa Creu i Sant Pau, Barcelona, Spain|Hospital Universitario de Burgos, Burgos, Spain|Hospital General Universitario de Ciudad Real, Ciudad Real, Spain|Hospital San Pedro Alcántara, Cáceres, Spain|Hospital Universitario Dr. Josep Trueta, Gerona, Spain|Hospital Universitario Clínico San Cecilio, Granada, Spain|Hospital Universitario Virgen de las Nieves, Granada, Spain|Hospital General Universitario Gregorio Marañón, Madrid, Spain|Hospital Universitario 12 de Octubre, Madrid, Spain|Hospital Universitario Fundación Jiménez Díaz, Madrid, Spain|Hospital Universitario HM Sanchinarro, Madrid, Spain|Hospital Universitario Infanta Leonor, Madrid, Spain|Hospital Universitario Ramón y Cajal, Madrid, Spain|Hospital Clínico Universitario Virgen de la Arrixaca, Murcia, Spain|Hospital Regional Universitario de Málaga, Málaga, Spain|Complexo Hospitalario Universitario de Ourense, Orense, Spain|Hospital Universitario Salamanca, Salamanca, Spain|Hospital Universitario Virgen de la Macarena, Sevilla, Spain|Hospital Universitario Virgen del Rocío, Sevilla, Spain|Hospital Virgen de la Salud, Toledo, Spain|Hospital Clinico Universitario de Valencia, Valencia, Spain|Hospital Universitari i Poliectenic La Fe, Valencia, Spain|Hospital Universitario Dr. Peset, Valencia, Spain|Hospital Clínico Universitario Lozano Blesa, Zaragoza, Spain|Hospital Universitario Miguel Servet, Zaragoza, Spain		https://ClinicalTrials.gov/show/NCT04445272
5	NCT04361422	Isotretinoin in Treatment of COVID-19	Randomized	Not yet recruiting	No Results Available	COVID-19	Drug: Isotretinoin Only Product in Oral Dose Form	Clinical clearance	Tanta University	All	18 Years to 40 Years   (Adult)	Phase 3	300	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	9469305c	December 1, 2020	August 2021	December 2021	April 24, 2020		September 23, 2020			https://ClinicalTrials.gov/show/NCT04361422
6	NCT04388683	Inhaled Nitric Oxide for Preventing Progression in COVID-19	NO-COVID-19	Recruiting	No Results Available	COVID-19	Drug: Nitric Oxide	Prevention of progressive systemic de-oxygenation, with escalation to higher levels of oxygen and ventilatory support or death, assessed using a 7-point severity scale.|Prevention of progression assessed by an alternate severity scale|Time to reaching maximal severity score|Proportion of patients in each stage at maximum severity|PaO2/FIO2 or SaO2/FIO2 ratio, measured daily|Length of hospital Stay (death assigned as worst case)|Frequency of Intubation, ECMO, or need to intubate with "Do Not Resuscitate" order|Mortality|IL6 level|TNF-alpha level|Fibrinogen level|CRP level|Ferritin Level|D-dimer level	Tufts Medical Center|Bellerophon	All	18 Years to 85 Years   (Adult, Older Adult)	Phase 2	42	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	STUDY00000554	May 12, 2020	April 30, 2021	July 31, 2021	May 14, 2020		May 18, 2020	Tufts Medical Center, Boston, Massachusetts, United States		https://ClinicalTrials.gov/show/NCT04388683
7	NCT04421534	Utility of Lactoferrin as an Adjunct Therapeutic Agent for COVID-19		Not yet recruiting	No Results Available	COVID-19	Drug: Lactoferrin	Time to clinical improvement|Rate of virological cure	Cairo University	All	18 Years to 65 Years   (Adult, Older Adult)	Phase 2|Phase 3	150	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	CUKA-001	June 2020	September 2020	November 2020	June 9, 2020		June 9, 2020			https://ClinicalTrials.gov/show/NCT04421534
8	NCT04452669	VentaProst in Subjects With COVID-19 Requiring Mechanical Ventilation	VPCOVID	Not yet recruiting	No Results Available	COVID-19	Drug: VentaProst (inhaled epoprostenol delivered via a dedicated delivery system)	Reduction in Respiratory Failure|Reduction in Cardiac/Circulatory Failure|Improvement in Oxygenation|Improved Clinical Outcomes	Aerogen Pharma Limited|Ohio State University	All	18 Years and older   (Adult, Older Adult)	Phase 2	20	Industry|Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	APC-VPCOV-CLN-001	August 15, 2020	December 1, 2020	February 1, 2021	June 30, 2020		July 31, 2020	Ohio State University, Columbus, Ohio, United States		https://ClinicalTrials.gov/show/NCT04452669
9	NCT04291053	The Efficacy and Safety of Huai er in the Adjuvant Treatment of COVID-19		Not yet recruiting	No Results Available	COVID-19	Drug: Huaier Granule	Mortality rate|Clinical status assessed according to the official guideline|The differences in oxygen intake methods|Duration (days) of supplemental oxygenation|Duration (days) of mechanical ventilation|The mean PaO2/FiO2|Length of hospital stay (days)|Length of ICU stay (days)|Pulmonary function	Tongji Hospital	All	18 Years to 75 Years   (Adult, Older Adult)	Phase 2|Phase 3	550	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	TJ-IRB20200205	April 1, 2020	August 1, 2020	September 1, 2020	March 2, 2020		March 17, 2020			https://ClinicalTrials.gov/show/NCT04291053
10	NCT04534673	Pegylated Interferon Lambda for Treatment of COVID-19 Infection		Recruiting	No Results Available	COVID-19	Drug: Lambda 180 mcg S.C	Viral shedding in days since initial diagnosis|Rate of adverse events and severe adverse events|Time to clinical recovery|Rate of non-invasive or mechanical ventilation|Length of hospital stay|All-cause mortality|Undetectable COVID-19 virus levels	Soroka University Medical Center	All	18 Years and older   (Adult, Older Adult)	Phase 2	40	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	0129-20-SOR|SCRC200006	August 5, 2020	December 31, 2021	December 31, 2021	September 1, 2020		September 1, 2020	Soroka UMC, Be'er Sheva, Israel		https://ClinicalTrials.gov/show/NCT04534673
