PREDICATE,SUBJECT_TEXT,OBJECT_TEXT,SENTENCE,LABEL
ADMINISTERED_TO,MTX,patients,"At 2 years of followup, 60 patients (48%) continued       to receive MTX with sustained clinical benefit.",1
COEXISTS_WITH,foreign bodies,brain abscess,The diagnostic significance of change in position of metallic foreign bodies in       brain abscess.,1
USES,micropipet,glass,Unilateral microinjection of bombesin or vehicle into the dorsal vagal complex       was performed using a glass micropipet and pressure ejection of 100 nl volume;       gastric acid output was measured every 10 min by flushing the stomach.,0
COEXISTS_WITH,monoclonal       antibody,liposomes,"A monoclonal       antibody was produced that immunoprecipitated the Ca2+ transport activity, both       in native, synaptosomal vesicles and in liposomes containing the reconstituted       transport system.",1
TREATS,Infusion,rat,Infusion of prostacyclin (PGI2) reportedly attenuates renal ischemic injury in       the dog and the rat.,0
TREATS,therapy,cancer,[Symptomatic butalidone therapy in cancer].,1
TREATS,chemotherapy,patients,Three patients relapsed after primary irradiation and six patients       classified as stage IV were treated with chemotherapy.,1
COEXISTS_WITH,hydroxylase,vitamin D3 metabolites,It       app]ears that 1 alpha-hydroxylase activities of the fetoplacental unit (placenta       and fetal kidney) are blunted in TPTX animals and that CaBP synthesis in the       fetus depends on the presence of 1 alpha-hydroxylated vitamin D3 metabolites in       the mother.,0
TREATS,chemotherapy,woman,HTLV-1 seroconversion in a 56-year-old Japanese woman undergoing chemotherapy for       acute nonlymphocytic leukemia.,1
TREATS,medical therapy,chronic airway obstruction,These data suggest that rehabilitative therapy is a valid adjunct to       medical therapy in the short-term treatment of chronic airway obstruction.,1
DIAGNOSES,brain scans,cerebral ischemic infarction,CT contrast enhancement on brain scans and blood-CSF barrier disturbances in       cerebral ischemic infarction.,1
TREATS,dehydroepiandrosterone,men,"The effect of repeated intramuscular gonadotrophin-releasing hormone injections       on luteinizing hormone, follicle-stimulating hormone, testosterone, oestrogens,       dehydroepiandrosterone and dehydroepiandrosterone sulfate in normal men.",0
ADMINISTERED_TO,cardiac       catheterization,patients,The benefits of this       arrangement have been observed in a series of ten patients undergoing cardiac       catheterization.,1
COEXISTS_WITH,apolipoprotein B,alleles,Here we report that DNA polymorphisms       at the human apolipoprotein B (apoB) locus are very closely linked to alleles of       the Ag system.,1
USES,treatment,drugs,"Finally, several drugs are used for the treatment       of illnesses that tend to be unique to cats (eg, taurine and calcium-channel       blockers in selected feline cardiovascular disorders).",1
USES,assay,reagent,In both cases a fluorodensitometric assay       on thin-layer chromatographic plates is carried out after spraying with       p-dimethylaminobenzaldehyde reagent.,1
TREATS,aminomethane,hemorrhagic shock,Evaluation of tris (hydroxymethyl) aminomethane (THAM) in experimental       hemorrhagic shock.,1
COEXISTS_WITH,apolipoproteins,apolipoprotein B,"Of the 3H incorporated into individual apolipoproteins,       separated by polyacrylamide gel electrophoresis, 25% was recovered in       apolipoprotein B (apoB), 50% in apoA-I, 21% in apoA-IV, and 4% in C       apolipoproteins, nearly all in apoC-II and apoC-III-0.",0
PRODUCES,Vibrio parahaemolyticus,hemolysin,"These results indicated that both of Kanagawa positive       and negative strains of Vibrio parahaemolyticus can produce the enterotoxin-like       factor(s) such as cholera enterotoxin or heat labile enterotoxin produced by       enterotoxigenic Escherichia coli, but this factor(s) dose not show       cross-antigenicity with cholera enterotoxin and the Kanagawa hemolysin produced       by Kanagawa positive Vibrio parahaemolyticus.",1
TREATS,clip,blood pressure,Hypertensive rabbits with a clip on the renal artery of their solitary remaining       kidney show an abrupt decrease in blood pressure after the arterial constriction       is released.,1
COEXISTS_WITH,amphetamine,alprenolol,[Effect of prolonged action of alprenolol and alprenolol combined with       amphetamine on the state of internal organs in rats].,1
TREATS,optical aids,persons,"[Magnifying glasses, telescopic glasses and magnifying-telescopic glasses,       magnifying optical aids in persons with vision damages].",1
TREATS,DDS,leprosy,Urinary excretory pattern of DDS in leprosy patients.,0
TREATS,metolazone,children,Efficacy of metolazone and furosemide in children with furosemide-resistant       edema.,1
TREATS,vitamin,skin diseases,[Combined antihistaminic and vitamin treatment of certain skin diseases].,1
TREATS,125-iodine,thyrotoxicosis,93 patients were treated with 125-iodine for thyrotoxicosis with a small thyroid       (less than or equal to 60 gr) and without palpable nodules in the years       1972--1974.,1
